Location,link,writer,time,text
"Grey Nuns Community Hospital,AB",https://lh3.googleusercontent.com/a-/ALV-UjUlbw4P8eaPhk67Uz3UEWITwNyxuUOZJjF-0uH_G7iiLgJPPqfd=w43-h43-p-rp-mo-ba3-br100,Harmeet singh,3 months ago,"Nice, intelligent, and friendly staff. Our baby was born here, and the procedure went smooth. Parking could be a minor issue on busy days other than that ?? …"
"Grey Nuns Community Hospital,AB",https://lh3.googleusercontent.com/a-/ALV-UjWKWNuWjKIHyQEO3CEbg537AdKauFPmZiRmQy9eJdNJeU2VEaj6=w43-h43-p-rp-mo-ba3-br100,Madison McCaffrey,11 months ago,"Had a small scare at 17 weeks pregnant. It did take About 4 hours to be seen however, they were busy and that was to be expected. The on call doctor I saw was exceptionally kind and reassuring. I then had my blood taken in record time and …"
"Grey Nuns Community Hospital,AB",https://lh3.googleusercontent.com/a/ACg8ocL41i2-9tDJx0RCB98bxF7UAy5kYh6p38GFfT8bjtXiOmQCtQ=w43-h43-p-rp-mo-br100,ALEX SIFFLEDEEN,7 months ago,"Today I had a colonoscopy with Dr. Siffledeen.
I am a 5 time lung cancer survivor and required this exam as a result of a suspicious finding from a pet scan. …"
"Grey Nuns Community Hospital,AB",https://lh3.googleusercontent.com/a-/ALV-UjXE9SPqmIjhz2YuHMzIcGoEIMuB1tbjn-q4z6zfewGiRVYY-oS6lA=w43-h43-p-rp-mo-br100,Logan Bourdon,2 months ago,"The emergency staff here helped us through a very difficult and unexpected time in our lives with compassion, dedication, and integrity, and for that we can’t thank them enough."
"Grey Nuns Community Hospital,AB",https://lh3.googleusercontent.com/a/ACg8ocJZOKk1X3rk-dEQbn1D8c-jZ95xoYrx9CiZgVYxBPLq3qowWw=w43-h43-p-rp-mo-br100,Ashley Alexander,2 months ago,"Although wait time and waiting room in chaotic, once I was in the hospital area, there was amazing, kind, and prompt care provided. I appreciate how I was treated."
"Grey Nuns Community Hospital,AB",https://lh3.googleusercontent.com/a/ACg8ocKiXNXOTrlhFzGVD2p71fyvwRgBA0pSHopi-tZvzHe2pG9SHA=w43-h43-p-rp-mo-ba3-br100,Imran Humayun,6 months ago,"Dont know why ppl left low ratings. They actually are doing a great job.
Its usual in overall canada the emergency could take about 5 hours. But this hospital my turn came around in 3 hours and 45 mints more for the doctor to show up."
"Grey Nuns Community Hospital,AB",https://lh3.googleusercontent.com/a-/ALV-UjX2oNTXON0xVCuIxwXasnlMIdr0KYLfhXaGB4ODSCJkwehxLNtf=w43-h43-p-rp-mo-br100,Che 33,a month ago,"I honestly wouldn’t come here if I was dying, they probably wouldn’t even help or believe you anyway, you can go in there dying and they will shove you in a corner to wait for 4 hours then bring you to a room to wait another 4 hours to see …"
"Grey Nuns Community Hospital,AB",https://lh3.googleusercontent.com/a-/ALV-UjVIFxuUBqr_wsI8LndmZdrmf6MYttC1BUeYPioKrrfp1SZIRgHE=w43-h43-p-rp-mo-br100,bev allen,7 months ago,"I went to emerge last Sat.
This hospital is excellent!!’
I was Impressed with the level of care and how completely thorough they were. …"
"Grey Nuns Community Hospital,AB",https://lh3.googleusercontent.com/a/ACg8ocKLZDDbbYTwpGKwyvFSgLugkj5Wuk_uJXcuGsoYzaFEmXdldQ=w43-h43-p-rp-mo-br100,Jordan Muyres,a month ago,"Worst experience i have had with a hospital, nurses were clueless and useless, made us sit around for 14 hours just for a simple ultrasound, avoid this place as if it was the plague."
"Grey Nuns Community Hospital,AB",https://lh3.googleusercontent.com/a/ACg8ocIrd3rSvle0cqIO44par9-C5BKFr_dmSUuDibwFo9N3u70_3w=w43-h43-p-rp-mo-br100,Mirjana Sucic,11 months ago,"It is with a broken heart that I write this review. If a zero could be given, it would be what this hospital deserves. My beloved husband  was lost to us during his negligent stay at this hospital, specifically Unit 51. …"
"Grey Nuns Community Hospital,AB",https://lh3.googleusercontent.com/a-/ALV-UjWbYw1tD-L6eV4m77hshmCp-jkbrLYpLefhiVVNUA1-vx2TANa_=w43-h43-p-rp-mo-br100,Paula Huber,a month ago,"Wow! Had an AAA surgery and excellent service. All staff was so kind, supportive, helpful, and always willing to please. Thank you ?? …"
"Grey Nuns Community Hospital,AB",https://lh3.googleusercontent.com/a-/ALV-UjXAD0lcEJlTV3W_UOsBMfyuSMMKm2_horZPE8dk3379GqkR4Aab=w43-h43-p-rp-mo-ba3-br100,Surgical Steel,8 months ago,"Had to use this facility for their services many times for myself and my children. They always do their best to provide courteous professional care.
Nursing staff is incredible. From front to back. Great Radiologist's as well. …"
"Grey Nuns Community Hospital,AB",https://lh3.googleusercontent.com/a-/ALV-UjWQEDRKnLdGygqUAX8t_zMw-Naed2VQjx6Xw7mbPfGjL8W6tlEa=w43-h43-p-rp-mo-ba4-br100,Dan,9 months ago,"Dr. Rodgers was great, very calm and informative. The other nurses/doctors were great as well. The police came in with their guns drawn and had to lock down part of the hospital at one point, so I'm taking points off for that. Maybe don't go to the emergency room here if you don't have to."
"Grey Nuns Community Hospital,AB",https://lh3.googleusercontent.com/a/ACg8ocJrjRtNVY-ukFe1i_rBEgICtT6d1e8zn8ZpPtyodFEPfZbYzg=w43-h43-p-rp-mo-ba2-br100,Stacy-Ann McLeish-Brown,5 months ago,I recently had my baby here. I must say my stay was exceptional and I had the best nurses and doctors. I was given a private room with great view ?? …
"Grey Nuns Community Hospital,AB",https://lh3.googleusercontent.com/a/ACg8ocKLso-aUGesuuU3b1jLVq4r_o-8uDMO4cg_9CSX5rAVDN9srQ=w43-h43-p-rp-mo-ba3-br100,Cody Williams,9 months ago,Absolutely pathetic service. Hands down the most unsupportive hospital. Called an ambulance for an emergency.  Puking and passing blood. To ha me brought to the hospital to be told to wait 4 hrs for a doctor. You are the unprofessional …
"Grey Nuns Community Hospital,AB",https://lh3.googleusercontent.com/a/ACg8ocK58adKFAPTfDtn_egX7TR6YVAwXbMKBhd8grF9nXyO9cpxkQ=w43-h43-p-rp-mo-ba2-br100,Jagjeet Singh,9 months ago,I had kidney stone and called ambulance. Ambulance team was really nice I have no words to explain how polite they were. When I reach hospital nurses were very rude. After that I met with doctor he was rude too. I don't know what happened to these people in this world.
"Grey Nuns Community Hospital,AB",https://lh3.googleusercontent.com/a/ACg8ocK4njdUs9uD4ZFM6AnkaEXwCp69fw6rEMZcKS_enQUGBnZX6g=w43-h43-p-rp-mo-br100,Lawrence Delacruz,2 weeks ago,We just got home from greynuns and all the nurses there are very nice and good ???? 3rd floor unit 33 and 31 ???? …
"Grey Nuns Community Hospital,AB",https://lh3.googleusercontent.com/a/ACg8ocINnfcU9-qzCw94Fhx2SjVzE5vLTuGqno2ZM6SD-5YfMZp0Ug=w43-h43-p-rp-mo-br100,Dianne Dodd,5 months ago,i had my colosopy on monday doctor and his team was awsome they understand how i felt and the nurse for recovery was very nice she helped me i was very happy thanks to make me feel comfy ?? …
"Grey Nuns Community Hospital,AB",https://lh3.googleusercontent.com/a/ACg8ocJVd8DfSbi_d-jBxGMNz7bYrrHbO83HGj6sn4z07t-s5x9qkQ=w43-h43-p-rp-mo-br100,Harmangill Gill,a month ago,Worst hospital ever in Edmonton. They don’t how to treat their patients   I was here just for an X-ray which took me around 7 hours. My suggestion is please never ever visit this hospital.
"Grey Nuns Community Hospital,AB",https://lh3.googleusercontent.com/a-/ALV-UjU6xpzQW-c15wZjk-D33WM3bGkkGSG2v4_p4iJ0Fj82v6Hh-VU=w43-h43-p-rp-mo-br100,Nikko and Chelly's TV,3 weeks ago,Labor and delivery team are the best ?? thank you to all nurses and doctors who assisted me during my delivery
"Grey Nuns Community Hospital,AB",https://lh3.googleusercontent.com/a-/ALV-UjV_lIO5s_shzrI-c-114N_IDdE7c5ueap6Eoa2xKege2zvyVx3R=w43-h43-p-rp-mo-br100,Savannah Shaw,7 months ago,"My mom was in pain for hours!, all they gave her was advil the whole time, i wasn't able to see her. Thats the last time i saw her i didn't even hug her goodbye i thought she would be fine, they didn't save my mom, They could've but didn't …"
"Grey Nuns Community Hospital,AB",https://lh3.googleusercontent.com/a-/ALV-UjWteTmi59gQ8p07YZWl_nnyArgC6A2RvcVepEjB4X1Zd0zw7xE=w43-h43-p-rp-mo-br100,Layla,a year ago,"This hospital is very mediocre. The doctors are kind, welcoming and assuring. On the other hand, the nurses are rude, arrogant, and practically laugh at struggling patients. I had arrived 5pm and didn’t get to leave until 7am. I was then …"
"Grey Nuns Community Hospital,AB",https://lh3.googleusercontent.com/a/ACg8ocL1e7ZV6hhSbOpAeiTKwx4PUqSnW0ieOGJdDVgsXHBMkmvwEg=w43-h43-p-rp-mo-br100,Oleksandr Hotte,9 months ago,"We arrived from Ukraine a week ago and unfortunately the girl got very sick. The ambulance provided excellent help! All the tests and x-rays were done! The doctors are very polite! Disinfection and hygiene at a very high level, not in any other Europe not like this. Thank you Canada, thank you doctors of this hospital ?????????? …"
"Grey Nuns Community Hospital,AB",https://lh3.googleusercontent.com/a/ACg8ocJx-XPs1ABWUmMvKFiO6JNW7jFYj9wHcb_bswBJv5gOmoqHaw=w43-h43-p-rp-mo-ba4-br100,K P,a year ago,"I will never forget Dr. Joel San Agustin and the amazing nurses who provided lightning fast and exceptional care to my husband when he got injured. Dr. Agustin’s expertise and kindness were outstanding, and the nurses went above and beyond …"
"Grey Nuns Community Hospital,AB",https://lh3.googleusercontent.com/a-/ALV-UjVRo3XeXsiwLr1duKX1jc8viGstyyVYcp0BhFjNMIg2QJ82tZA=w43-h43-p-rp-mo-ba3-br100,Tete omar,a year ago,"The ER is ridiculous! When I arrived, I had to wait in a big lineup that was moving extraordinarily slowly. I only had a chance to see the triage nurse after 3 hours of standing and waiting. One man even collapsed while standing in that …"
"Grey Nuns Community Hospital,AB",https://lh3.googleusercontent.com/a-/ALV-UjVnucbru_JA62MGAiwE8vsNlzAvcQgu1ybJlUEAUGkmkTARTWvD=w43-h43-p-rp-mo-br100,Rachael O'Shea,a year ago,All the staff that helped me in emergency/triage were amazing last night (2:00amJune3). All the nurses that took care of me were lovely friendly caring people. I have extreme fear of medical needles but they were able to keep me calm enough …
"Grey Nuns Community Hospital,AB",https://lh3.googleusercontent.com/a-/ALV-UjUgnFtEmncsjVMOhij8vqLd1Re-4_xsVLDfq88UIAsn1JWpt_yI=w43-h43-p-rp-mo-br100,Benny Rae Galvez,8 months ago,"If I could put zero or negative stars, without a doubt it’d be up right now. Never had a more unaccommodating service let alone a min. 5-6hrs wait time then be sarcastically told “you’re only on 4.5hrs” by a so called nurse from emergency triage. Well done for an absolute garbage of a service…"
"Grey Nuns Community Hospital,AB",https://lh3.googleusercontent.com/a-/ALV-UjVs73vVjRo9tGIwV6TX81j6XMrVNy_vniXbstz5UQZedhsphuA0=w43-h43-p-rp-mo-ba3-br100,varun ponsun,a month ago,Please don’t come here if you want to save your life. You could loose your life. The most inefficient emergency department I have seen.
"Grey Nuns Community Hospital,AB",https://lh3.googleusercontent.com/a/ACg8ocKBH-d2xgGsephFwq9UEHxN4ilfbIF3089jivzYF-gTPQ_83A=w43-h43-p-rp-mo-br100,Kamaljeet Singh,2 months ago,My mom had chest pain and we went to the emergency..there is a big sign says if you have chest pain go to the window i went there and Rude nurse told me to wait in the line..i am doing some other stuff with my colleague..so unprofessional …
"Grey Nuns Community Hospital,AB",https://lh3.googleusercontent.com/a/ACg8ocL9559qVvsDg7pv5hTCX4q12bJ7Uz367_1VUqI_N2EVT3DQbA=w43-h43-p-rp-mo-br100,Matthew Ford,9 months ago,"I had shoulder surgery here, and I could not have asked for a more wonderful staff. Everyone, from the admitting staff to the nurses who saw me out, could not have been better. I was very nervous to have major surgery for the first time and I could not have been more comforted by the wonderful folks at Grey Nuns"
"Grey Nuns Community Hospital,AB",https://lh3.googleusercontent.com/a/ACg8ocLKGH6LvyOdMh1rLtuKKTe9XV6FILX1a299popzdGNtxtzNww=w43-h43-p-rp-mo-br100,Tav Bassi,a year ago,"If possible I would give this hospital a 0. Have had 2 bad experiences here.
Took my grandma (dads side) to their emergency. After waiting 8 hours she got told she is fine and nothing to worry about. 2 days later she’s still in pain …"
"Grey Nuns Community Hospital,AB",https://lh3.googleusercontent.com/a-/ALV-UjXu1qY-0xGWaBs8fYkGn72t9i1qYh2FlRSu6HtAkV13UQMd8kGZ=w43-h43-p-rp-mo-br100,Dave McGuire,4 weeks ago,"Excellent care from Dr Bala and his staff Anette and Dane  and Tessa thank you for all your professional
Care."
"Grey Nuns Community Hospital,AB",https://lh3.googleusercontent.com/a-/ALV-UjVtQPsDeHYOdx2cEA7zXgRnDB-XgKEgv6VC5ZmOOmpR_lCf8mpl=w43-h43-p-rp-mo-ba4-br100,Peter Williamson,a year ago,"Extremely long and slow line,  and it took over 12 hours to be seen by nurses and doctors, but the best hospital I’ve attended. …"
"Grey Nuns Community Hospital,AB",https://lh3.googleusercontent.com/a/ACg8ocJkt4ucM4s01dteOhYZqv1W_-DzWReAp6eIHsZY3hx1E5ovkw=w43-h43-p-rp-mo-br100,Norman Irving,a year ago,"The medical has completely failed. Not failing, failed!! The nurses and staff just completely lie and say wait is 3 hours. There is people waiting over 24hrs. I have severe ulcerative colitis and I am in worst condition I have ever been. I …"
"Grey Nuns Community Hospital,AB",https://lh3.googleusercontent.com/a-/ALV-UjUq3dB2Solg157iqXiGeLVcGbfdyjIiZ7v6-IfGunC7OvfV6Dlh=w43-h43-p-rp-mo-br100,gurpreet gill,a year ago,We had our first baby at Grey Nuns and it was an amazing experience. All the staff was so caring and we felt like our family members are taking care of both mother and baby. Especially Dr. Skroniauk. and nurse Megan were fabulous?? …
"Grey Nuns Community Hospital,AB",https://lh3.googleusercontent.com/a/ACg8ocLoIR-5JMcThc4zogKCPor2LSCkUEvSbA1hqozVsf5tpScVKg=w43-h43-p-rp-mo-ba3-br100,Parker Rowland,10 months ago,"Saddest excuse if a emergency room in the city. Went in chest pains and shortness of breath, the dr was just downright dismissive and tried to pass it off claiming that it was just anxiety getting the best of me. They tried to discharge me …"
"Grey Nuns Community Hospital,AB",https://lh3.googleusercontent.com/a-/ALV-UjXN-ws6GC6ZbhbJ612NhmbKdwXxOta2WDZPFUxuZW1cXBnLLzZS_g=w43-h43-p-rp-mo-ba3-br100,Priyanka Chhikara,2 years ago,"I had a great experience with my first delivery. I was scared about everything before but hospital staff is fantastic , kind and helpful. When my labour started I had no idea what to do but nurses took great care of me one nurse I want to …"
"Grey Nuns Community Hospital,AB",https://lh3.googleusercontent.com/a/ACg8ocJ4OF2U5Yh5y15bym0tCEhp9zw_sT-PJJq94NC9XXONwLdZOw=w43-h43-p-rp-mo-br100,Mark Brown,2 months ago,"The security team and peace officers are very ignorant use foul language, and were seen vaping in there little hide out in ER"
"Grey Nuns Community Hospital,AB",https://lh3.googleusercontent.com/a/ACg8ocK7ZRaEOrLLR-h23jzfz8DVQMKTUbZWZD9g0zpWml4gRwNafg=w43-h43-p-rp-mo-br100,Jennifer Massie,a year ago,My first grandson was born at this hospital!! He spent a few days in their NICU!! I live in Ontario and knowing that the wonderful doctors and nurses took such great care of him as well as my son and his girlfriend was of great comfort to me!! I just wanted to say how much I appreciate the staff there!! God bless all of you!!!??????????????? …
"Grey Nuns Community Hospital,AB",https://lh3.googleusercontent.com/a-/ALV-UjUSVC5VZzDxZi8OEytrSKlbUsH9U_TS3xItxxjW_sSXhMopM38CSw=w43-h43-p-rp-mo-ba2-br100,Paouline Pena,8 months ago,My husband came at 2:30pm in the emergency room and had to wait until 11pm just to get medical attention. Please improve patient waiting times to help save one person from suffering. Hire more nurses and doctors.
"Grey Nuns Community Hospital,AB",https://lh3.googleusercontent.com/a/ACg8ocIC8UnxRl10OylJuBgiCb5VN814MrtZVoZ14A_qOOYh8JCeu70=w43-h43-p-rp-mo-br100,Paige MacDougall,3 months ago,Good luck finding any parking near emergency. You'll have better luck going anywhere else in the city.
"Grey Nuns Community Hospital,AB",https://lh3.googleusercontent.com/a-/ALV-UjWiJTRLH0pCMXzj1g5-QgVLvqf41dbRB7SeodE7QEUkYHBwXlY=w43-h43-p-rp-mo-br100,Mariana Claveria,11 months ago,"Feedback on Emergency Department Experience

I wish to provide feedback on my recent experience in the emergency department, …"
"Grey Nuns Community Hospital,AB",https://lh3.googleusercontent.com/a/ACg8ocJu4YrvTmN0umRfr8dkiqK7gAhdLQC3B7lBH8gfGMPGx0wJfA=w43-h43-p-rp-mo-br100,Stan Nelson,10 months ago,"I can’t say enough good things about the staff ( nurse Ryan in particular) in the emergency department. People who are sick often get testy, or need a great deal of care. The staff took it all in stride and remained pleasant! Thank you all!"
"Grey Nuns Community Hospital,AB",https://lh3.googleusercontent.com/a-/ALV-UjXgBG-6wwEhNhH8nyaohMJg5e8s6zqXcnw63IJWnvhKoiPIV4jv=w43-h43-p-rp-mo-ba3-br100,Simon Says,11 months ago,"Waited 8 hrs to see a doctor for a whole 5 min. The lady at reception gave me no privacy what's so ever. I told her my job occupation and why I was visiting, which i felt should have been a private conversation but then she repeated it so everyone could basically here and I just felt embarrassed for the rest of my wait."
"Grey Nuns Community Hospital,AB",https://lh3.googleusercontent.com/a-/ALV-UjW8Ie8EzRTOMRTocWim4QxducR880Ee-QdPTSqLDyU4D4MqqZn0=w43-h43-p-rp-mo-br100,Wendy J,a year ago,Had the unfortunate experience of visiting the ER last night for what I thought was a broken foot. 7 hours of waiting for an xray. While in the waiting room - I felt uncomfortable. They started taking blood from other patients in the room …
"Grey Nuns Community Hospital,AB",https://lh3.googleusercontent.com/a-/ALV-UjU4IE0eA89TG6FlaNOBj7-9aRAm4u2XjVf2wY2qxkFGpWRq-QpaUQ=w43-h43-p-rp-mo-ba3-br100,Sue Jo,10 months ago,Do not go to this hospital unless absolutely necessary!   People bleeding in the waiting room for 6 hrs or more.  Children crying due to pain.  Adults asking for pain relief meds while waiting. …
"Grey Nuns Community Hospital,AB",https://lh3.googleusercontent.com/a/ACg8ocJaFPJqnSZezQZ9rjhlR7VWAxnsEPEznyk_Jq2fl_uorShs6K4=w43-h43-p-rp-mo-br100,Selina Elchuk,2 years ago,"I went to the grey nuns today for day surgery and had a great experience. There was a gentleman at the front door screening for Covid and he was hilarious, really lightened the mood. Made me feel good as soon as I got in as I was pretty …"
"Grey Nuns Community Hospital,AB",https://lh3.googleusercontent.com/a/ACg8ocL_6fY3xYAk58S9Ft0Nh74cn8lLyuTOfZE1RgPEaTOhlkBhtw=w43-h43-p-rp-mo-br100,Deanne,a year ago,"Was sent to emergency by my family physician. I waited six hours wasn’t one blood test or any test for that matter started in that six hour period. I told then at the triage desk when I was checking in that I was weak, dizzy, and very sick …"
"Grey Nuns Community Hospital,AB",https://lh3.googleusercontent.com/a/ACg8ocJKC4Bzrk438Ja95T-WiR_698f0C5MHhC3cDwkS4gySwPwYYA=w43-h43-p-rp-mo-br100,Megan Watson,2 years ago,The reason why this hospital has the shortest wait times of all the hospitals in Edmonton is because no one wants to go here! Go to the U of A and wait longer so you can actually get proper treatment. Do not go here. The triage nurses are …
"Grey Nuns Community Hospital,AB",https://lh3.googleusercontent.com/a-/ALV-UjUb1xl4_knam7MGIEfTi3oPJ1bGJwS8GSpYPB58guQ-e-8cS1YyKQ=w43-h43-p-rp-mo-br100,tracy fonu,a year ago,"Compared to my previous labour & delivery experience elsewhere, Grey Nuns had better care especially recovery. Shout out to the ER nurse that literally run me up to labour floor. I hope you had a good laugh after cause I did. Shout out to …"
"Grey Nuns Community Hospital,AB",https://lh3.googleusercontent.com/a-/ALV-UjX8T3VroWPFER6Tb2YAV-QuHpVGDZw9CNOqf241bfeva0P3FBTT=w43-h43-p-rp-mo-br100,Roman Lorimer,a year ago,"Brought my partner to the emergency room because she was vomiting excessively. Also 8 weeks pregnant. Since she couldn't keep anything down, she was told not to eat or drink water. Even after telling the front desk we waited over 5 hours. …"
"Grey Nuns Community Hospital,AB",https://lh3.googleusercontent.com/a-/ALV-UjXjv2dR-S4orl2QTRJPCh5cV-eMWTxMeiK07V_J8F6_tPFDMR__Pg=w43-h43-p-rp-mo-ba3-br100,Kulji Singh,a year ago,"Been here twice recently and had a good experience. Staff is respectful if you're respectful to them. They explain things really well and answer your questions without making you feel like you're bothering them. They're very thorough with tests. My only complaint is the wait times, but that's a different issue"
"Grey Nuns Community Hospital,AB",https://lh3.googleusercontent.com/a/ACg8ocLbdIJm5aSgf5cmFjqtlfvU-Nb0QfcgMDrQkTmxIp2JsnVSCFA=w43-h43-p-rp-mo-ba5-br100,Nicolas S,a year ago,"Update: Came here on Feb 11/23 @ 6PM & couldn’t believe it. The wait time was suppose to be 3 hours it took more then that, after getting a room, all seemed well but when I was discussing my symptoms with the doctor he said all is good but …"
"Grey Nuns Community Hospital,AB",https://lh3.googleusercontent.com/a/ACg8ocKQHRlF-9mxdgZrtcty0Y4L_pmdqapnFjDjMA_Yk3urzERd2g=w43-h43-p-rp-mo-br100,Gurpreet Kaur,2 years ago,"Hell no to this place. They don’t care even if a person is dying. After waiting for 4 hours in the emergency room, I asked the nurse how many patients are before me. She answered 9. After two hours, I asked again and she replied the same. …"
"Grey Nuns Community Hospital,AB",https://lh3.googleusercontent.com/a/ACg8ocJ4EedFRaM67-R0p3PwSlHYD_0Sc64QS8FGViNvUuds-c-_8g=w43-h43-p-rp-mo-br100,Gabriel Horacio Jaramillo,5 months ago,"My wife was very good attended in Emergency, including patients that was waiting before that was arrived"
"Grey Nuns Community Hospital,AB",https://lh3.googleusercontent.com/a-/ALV-UjXmeqYzplbmfUS1ymnLTYeB5CqtltgSjemvRKwbuOC_fDoe2Pkk=w43-h43-p-rp-mo-br100,Michelle Caron,2 years ago,"I went in for this procedure with the intention of being at least partially sedated. I asked multiple staff, and multiple people whom I know who've had this procedure done and what to expect, and when I tell you I felt everything. I mean I …"
"Grey Nuns Community Hospital,AB",https://lh3.googleusercontent.com/a/ACg8ocI4egwGOQ0t8NXWgNyddiZhSueOGw2ApQAdpbu6uqAXHkntdE0=w43-h43-p-rp-mo-br100,N,a year ago,"When you go for an emergency, it will take 6 to 8 hours to see a nurse or a doctor, which is painful but okay. But the more distressing is the behaviour of the staff, inhumane, no value for the human life. They treat you like they are doing …"
"Grey Nuns Community Hospital,AB",https://lh3.googleusercontent.com/a-/ALV-UjWHSm3RjAWOLqsrvnMtatAbZWZ1gati85srfJhnsDI8jpHlO_w=w43-h43-p-rp-mo-br100,Elwin Dziwenka,a year ago,"Great health care, very short wait and admittance time, couldn't ask for better staff, nurse's and doctors they all worked beyond the call of duty. Why only four stars food was terrible when I was discharged found out it was not their fault, Alberta Health services to blame the food is catered out and supplied to the hospitals."
"Grey Nuns Community Hospital,AB",https://lh3.googleusercontent.com/a-/ALV-UjXfaLUTzZLz2wY5x4BOqi7PyJKFcm6RVIF51jz1drdfOC9F9iFB=w43-h43-p-rp-mo-br100,Sheldon McGuey,2 years ago,I’m really surprised to see you such a low review count on this place. I went in one morning with severe lower abdomen pain and waited maybe an hour to be admitted. Once in the back the staff treated me very well and took good care of me. …
"Grey Nuns Community Hospital,AB",https://lh3.googleusercontent.com/a-/ALV-UjVXpxa5Rn611McSw9vpAJg61clfNpjZ0DkUivp5f9Caddk7_Muy=w43-h43-p-rp-mo-ba4-br100,Taya,a year ago,"Rude nurse, when I first arrived, no one offered a mask as I didn't bring my own, knowing all hospitals have a policy to give fresh new ones when walking in. No direction or help when asked where the elavators are. …"
"Grey Nuns Community Hospital,AB",https://lh3.googleusercontent.com/a/ACg8ocLSRMFZ7pz99AwlRmINFv7wiwMnpM-P_pOBdy3GceJ84Vpelu0=w43-h43-p-rp-mo-ba2-br100,Thomas Kung,a year ago,"Very thankful for the doctors and nurses who were there for me, my wife and our new born. Extremely knowledgeable, helpful and we have great experience with their birth centre. …"
"Grey Nuns Community Hospital,AB",https://lh3.googleusercontent.com/a/ACg8ocIFFWSjmYBnFj8e8avANkDeLkPcbAkItTO-PU-l28bFILwCWwc=w43-h43-p-rp-mo-br100,Raj Jose,a year ago,"Inefficient staff, some are with attitudes. Saw a nurse showing her attitude towards an elderly person. …"
"Grey Nuns Community Hospital,AB",https://lh3.googleusercontent.com/a/ACg8ocL-GY5t0VrysWTqCRNsTSf35HuSbZS9vJysMfucmSraK1U-ww=w43-h43-p-rp-mo-ba5-br100,deew88 Supernault,2 years ago,"I love the maternity ward at Grey Nuns Hospital, I had both of my daughters there. The doctors and nurses are so nice and attentive, they made sure I was as comfortable as I could be. I always recommend this hospital to any of my friends or …"
"Grey Nuns Community Hospital,AB",https://lh3.googleusercontent.com/a-/ALV-UjVGc48onkegP33O1YnE2cMHGMPY0dpYe0jNU11ixdAzTpgLEZB_=w43-h43-p-rp-mo-ba2-br100,Diana Nguyen,a year ago,My husband crashed his bike and his collarbone is broken and sticking out of his skin. He had to wait 12 hours and then was kicked out because he didn’t have healthcare even though we were going to pay for it and they were asking for money …
"Grey Nuns Community Hospital,AB",https://lh3.googleusercontent.com/a-/ALV-UjXSi_dtMxqIueTFSwHxzengWsc3b_uFV0s88dWFLttP6dlmWSDNNQ=w43-h43-p-rp-mo-ba3-br100,Eugene C.,2 years ago,We had to go in for an emergency C-section and had a very good experience. Both doctors and nurses were fantastic. Everyone was helpful and very knowledgeable. The only bad thing is the little benches they have for the fathers to sleep on in the rooms. Those are terrible. Otherwise staff was great.
"Grey Nuns Community Hospital,AB",https://lh3.googleusercontent.com/a/ACg8ocKs4VzR5rc2YsH3VvOejwolEZTC2QwY9FmIGL3qHkxfReUBqg=w43-h43-p-rp-mo-br100,kate puim,2 years ago,"I wrote a review before. But after last week I wanted to  write a new one.

Firstly, almost all my experiences here were bad. But however last Thursday at 7 …"
"Grey Nuns Community Hospital,AB",https://lh3.googleusercontent.com/a-/ALV-UjUjCOeGNwV_DkctOobH7oqXGGzjBpcEcyw5hnm-tFKyH_nczo8=w43-h43-p-rp-mo-br100,Tony Sorchy,3 years ago,I really can't say enough good things about my experience here and the medical care that I received! From the moment I entered I was greeted with courtesy and professionalism. Once admitted I knew I was in good hands and received nothing …
"Grey Nuns Community Hospital,AB",https://lh3.googleusercontent.com/a-/ALV-UjWeqyY_sa4FdSyGnLEXH4ISFBcqVtOcASp6R_n7NK8pNmhX15Ds=w43-h43-p-rp-mo-ba3-br100,Lisa Zhu,a year ago,"I waited in ER for 6 hours until being seen by a doctor, then another 6 hours after being admitted into the ER, then another 2 hours after the doctor say I can go home. It is the longest wait I had in my life, but I am glad they figured out what’s wrong with my health, and big thank you to the ultrasound lady"
"Grey Nuns Community Hospital,AB",https://lh3.googleusercontent.com/a-/ALV-UjUMR-5vsAIzP6BuHiK_-w28dQjfro0MD3sxtn3MwXevogH06r87Vg=w43-h43-p-rp-mo-ba3-br100,A LeFurgey,a year ago,I came here after a surgery in another hospital in pain. Infected. This hospital and its staff has been amazing. The did a surgery to fix the issues the other caused and I came out feeling 1000x better. Mentally and physically.  They have …
"Grey Nuns Community Hospital,AB",https://lh3.googleusercontent.com/a-/ALV-UjUNmG1djnn4L2vJRPG8ZEPmp1GO-hMHN6b6Xy7WqAUKLXGxVw=w43-h43-p-rp-mo-br100,Liz,9 months ago,"Ladies at front were rude when not needed, instead of saying yes please give me a second and I can help you I got “yeah ask me while I’m busy”… all I asked was “I have a question if you don’t mind when you have a second” day before this I …"
"Grey Nuns Community Hospital,AB",https://lh3.googleusercontent.com/a-/ALV-UjWnU-rZYC_rX4t4oh071tX_FOxmVXPNjorlu8Sb98vx8DAbxKA=w43-h43-p-rp-mo-br100,Mara Black,2 years ago,The quality of the medical care that was provided was excellent. The personal well being was not taken into account at all. I have never come across such a large amount of miserable nurses like I have here!  And they didn’t seem to care who …
